Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Breeze,Team Liquid,7,2,4,0,5,0,3,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Split,T1,6,1,5,1,10,2,3,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Split,Team Liquid,10,2,3,0,6,1,5,1
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Split,Paper Rex,10,2,1,0,7,2,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Split,Mega Minors,7,2,1,0,10,2,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Pearl,Paper Rex,9,0,1,0,5,3,5,0
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Pearl,Mega Minors,5,3,5,0,9,0,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Haven,Paper Rex,6,3,4,0,6,3,2,0
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Haven,Mega Minors,6,3,2,0,6,3,4,0
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Gentle Mates vs Team Liquid,Pearl,Gentle Mates,10,2,1,0,7,1,3,0
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Gentle Mates vs Team Liquid,Pearl,Team Liquid,7,1,3,0,10,2,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Gentle Mates vs Team Liquid,Bind,Gentle Mates,11,2,0,0,3,0,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Gentle Mates vs Team Liquid,Bind,Team Liquid,3,0,0,0,11,2,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),EDward Gaming vs T1,Bind,EDward Gaming,0,0,1,0,10,3,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),EDward Gaming vs T1,Bind,T1,10,3,0,0,0,0,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),EDward Gaming vs T1,Haven,EDward Gaming,7,0,3,0,8,1,2,2
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),EDward Gaming vs T1,Haven,T1,8,1,2,2,7,0,3,0
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),Xi Lai Gaming vs G2 Esports,Abyss,Xi Lai Gaming,5,0,2,1,10,0,2,1
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),Xi Lai Gaming vs G2 Esports,Abyss,G2 Esports,10,0,2,1,5,0,2,1
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),Xi Lai Gaming vs G2 Esports,Haven,Xi Lai Gaming,3,0,0,0,9,1,2,1
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),Xi Lai Gaming vs G2 Esports,Haven,G2 Esports,9,1,2,1,3,0,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 3,NRG vs Team Liquid,Breeze,Mega Minors,9,1,2,1,8,0,3,0
Valorant Masters Santiago 2026,Swiss Stage,Round 3,NRG vs Team Liquid,Breeze,Team Liquid,8,0,3,0,9,1,2,1
Valorant Masters Santiago 2026,Swiss Stage,Round 3,NRG vs Team Liquid,Abyss,Mega Minors,6,0,6,1,2,2,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 3,NRG vs Team Liquid,Abyss,Team Liquid,2,2,0,0,6,0,6,1
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,Breeze,G2 Esports,6,2,5,0,3,1,1,1
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,Breeze,T1,3,1,1,1,6,2,5,0
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,Haven,G2 Esports,11,2,3,0,10,1,2,1
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,Haven,T1,10,1,2,1,11,2,3,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,Haven,FURIA,8,2,3,0,6,1,2,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,Haven,Paper Rex,6,1,2,0,8,2,3,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,Breeze,FURIA,2,1,1,0,7,1,4,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,Breeze,Paper Rex,7,1,4,1,2,1,1,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,Split,FURIA,7,0,0,0,10,0,2,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,Split,Paper Rex,10,0,2,1,7,0,0,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Haven,Nongshim RedForce,12,0,1,0,8,0,2,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Haven,Gentle Mates,8,0,2,0,12,0,1,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Corrode,Nongshim RedForce,10,1,2,0,9,0,1,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Corrode,Gentle Mates,9,0,1,0,10,1,2,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,Pearl,BBL Esports,5,0,1,0,12,0,1,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,Pearl,Mega Minors,12,0,1,0,5,0,1,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,Abyss,BBL Esports,6,3,4,0,5,0,1,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,Abyss,Mega Minors,5,0,1,0,6,3,4,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,Split,BBL Esports,13,0,2,0,11,2,4,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,Split,Mega Minors,11,2,4,0,13,0,2,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Split,All Gamers,3,1,1,1,8,2,3,0
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Split,G2 Esports,8,2,3,0,3,1,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,All Gamers,3,0,1,0,6,1,5,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss,G2 Esports,6,1,5,1,3,0,1,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,Haven,FURIA,2,1,3,1,8,2,2,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,Haven,BBL Esports,8,2,2,1,2,1,3,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,Breeze,FURIA,9,0,4,0,7,1,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,Breeze,BBL Esports,7,1,1,1,9,0,4,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,Abyss,FURIA,4,0,7,0,7,1,4,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,Abyss,BBL Esports,7,1,4,1,4,0,7,0
