Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Bind,Paper Rex,Eco (won),3,2
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Bind,Paper Rex,$ (won),1,0
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Bind,Paper Rex,$$ (won),4,3
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Bind,Paper Rex,$$$ (won),16,6
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Bind,Mega Minors,Pistol Won,,1
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Bind,Mega Minors,Eco (won),5,1
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Bind,Mega Minors,$ (won),1,0
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Bind,Mega Minors,$$ (won),1,0
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Bind,Mega Minors,$$$ (won),17,12
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,All Maps,Paper Rex,Pistol Won,,2
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,All Maps,Paper Rex,Eco (won),6,3
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,All Maps,Paper Rex,$ (won),3,0
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,All Maps,Paper Rex,$$ (won),12,8
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,All Maps,Paper Rex,$$$ (won),29,12
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,All Maps,Mega Minors,Pistol Won,,2
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,All Maps,Mega Minors,Eco (won),10,2
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,All Maps,Mega Minors,$ (won),1,0
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,All Maps,Mega Minors,$$ (won),3,2
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,All Maps,Mega Minors,$$$ (won),36,23
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Haven,G2 Esports,Pistol Won,,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Haven,G2 Esports,Eco (won),3,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Haven,G2 Esports,$ (won),1,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Haven,G2 Esports,$$ (won),3,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Haven,G2 Esports,$$$ (won),11,9
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Haven,BBL Esports,Pistol Won,,0
