Tournament,Stage,Match Type,Match Name,Map,Player Team,Player,Enemy Team,Enemy,Player Kills,Enemy Kills,Difference,Kill Type
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,koalanoob,BBL Esports,Crewen,5,10,-5,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,koalanoob,BBL Esports,Rosé,8,8,0,All Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,Loita,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,lovers rock,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,Lar0k,2,3,-1,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,Crewen,2,0,2,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,Rosé,1,1,0,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,Loita,1,1,0,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,lovers rock,6,4,2,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,Lar0k,2,0,2,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,Crewen,3,3,0,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,Rosé,1,1,0,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,Loita,1,1,0,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,lovers rock,3,1,2,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,Lar0k,3,2,1,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,Crewen,1,2,-1,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,Rosé,0,1,-1,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,Loita,2,1,1,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,lovers rock,1,1,0,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,Lar0k,1,1,0,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,Crewen,0,1,-1,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,Rosé,0,1,-1,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,koalanoob,BBL Esports,Loita,,,,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,koalanoob,BBL Esports,lovers rock,2,4,-2,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,koalanoob,BBL Esports,Lar0k,0,1,-1,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,koalanoob,BBL Esports,Crewen,0,1,-1,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,koalanoob,BBL Esports,Rosé,2,1,1,First Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,Loita,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,lovers rock,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,Lar0k,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,Crewen,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,eeiu,BBL Esports,Rosé,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,Loita,1,0,1,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,lovers rock,4,2,2,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,Lar0k,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,Crewen,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,alym,BBL Esports,Rosé,1,0,1,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,Loita,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,lovers rock,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,Lar0k,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,Crewen,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,artzin,BBL Esports,Rosé,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,Loita,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,lovers rock,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,Lar0k,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,Crewen,,,,Op Kills
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,All Maps,FURIA,nerve,BBL Esports,Rosé,,,,Op Kills
