Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Final,Gentle Mates vs FNATIC,594760,Corrode,244367
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Final,Gentle Mates vs FNATIC,594760,Split,244368
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Final,Gentle Mates vs FNATIC,594760,Bind,244369
VCT 2026: EMEA Kickoff,2684,Main Event,0,Middle Final,Gentle Mates vs FNATIC,594760,Haven,244370
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Final,FNATIC vs Team Liquid,594769,Corrode,244395
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Final,FNATIC vs Team Liquid,594769,Bind,244396
VCT 2026: EMEA Kickoff,2684,Main Event,0,Lower Final,FNATIC vs Team Liquid,594769,Abyss,244397
VCT 2026: Pacific Kickoff,2683,Main Event,0,Upper Round 1,Nongshim RedForce vs Team Secret,595630,Haven,244560
VCT 2026: Pacific Kickoff,2683,Main Event,0,Upper Round 1,Nongshim RedForce vs Team Secret,595630,Split,244561
VCT 2026: Pacific Kickoff,2683,Main Event,0,Upper Round 1,ZETA DIVISION vs FULL SENSE,595631,Corrode,244563
VCT 2026: Pacific Kickoff,2683,Main Event,0,Upper Round 1,ZETA DIVISION vs FULL SENSE,595631,Split,244564
VCT 2026: Pacific Kickoff,2683,Main Event,0,Upper Round 1,VARREL vs Global Esports,595632,Split,248947
VCT 2026: Pacific Kickoff,2683,Main Event,0,Upper Round 1,VARREL vs Global Esports,595632,Abyss,244567
VCT 2026: Pacific Kickoff,2683,Main Event,0,Upper Round 1,DetonatioN FocusMe vs Gen.G,595633,Abyss,244569
VCT 2026: Pacific Kickoff,2683,Main Event,0,Upper Round 1,DetonatioN FocusMe vs Gen.G,595633,Pearl,244570
VCT 2026: Pacific Kickoff,2683,Main Event,0,Upper Round 2,T1 vs Nongshim RedForce,595634,Split,249401
VCT 2026: Pacific Kickoff,2683,Main Event,0,Upper Round 2,T1 vs Nongshim RedForce,595634,Haven,244573
VCT 2026: Pacific Kickoff,2683,Main Event,0,Upper Round 2,T1 vs Nongshim RedForce,595634,Corrode,244574
VCT 2026: Pacific Kickoff,2683,Main Event,0,Upper Round 2,DRX vs FULL SENSE,595635,Breeze,244575
VCT 2026: Pacific Kickoff,2683,Main Event,0,Upper Round 2,DRX vs FULL SENSE,595635,Pearl,244576
