Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,DetonatioN FocusMe,viper,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,DetonatioN FocusMe,raze,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,DetonatioN FocusMe,fade,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Bind,DetonatioN FocusMe,brimstone,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,Gen.G,yoru,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,Gen.G,omen,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,Gen.G,sova,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,Gen.G,jett,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,Gen.G,cypher,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,T1,viper,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,T1,omen,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,T1,sova,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,T1,neon,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,T1,killjoy,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,ZETA DIVISION,yoru,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,ZETA DIVISION,omen,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,ZETA DIVISION,sova,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,ZETA DIVISION,neon,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,ZETA DIVISION,cypher,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,Global Esports,sova,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,Global Esports,astra,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,Global Esports,skye,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,Global Esports,jett,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Haven,Global Esports,chamber,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Abyss,ZETA DIVISION,yoru,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Abyss,ZETA DIVISION,omen,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Abyss,ZETA DIVISION,sova,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Abyss,ZETA DIVISION,waylay,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Abyss,ZETA DIVISION,astra,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Abyss,Global Esports,yoru,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Abyss,Global Esports,omen,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Abyss,Global Esports,sova,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Abyss,Global Esports,astra,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Abyss,Global Esports,veto,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Corrode,VARREL,omen,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Corrode,VARREL,sova,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Corrode,VARREL,raze,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Corrode,VARREL,waylay,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Corrode,VARREL,brimstone,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Corrode,DRX,yoru,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Corrode,DRX,viper,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Corrode,DRX,omen,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Corrode,DRX,waylay,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Corrode,DRX,fade,0,1,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Breeze,Gen.G,yoru,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Breeze,Gen.G,viper,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Breeze,Gen.G,sova,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Breeze,Gen.G,astra,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Breeze,Gen.G,jett,1,0,1
VCT 2026: Pacific Kickoff,Main Event,Middle Round 1,Breeze,T1,yoru,0,1,1
